"Blog","新闻"
"Comments","新闻评论"
"Categories","新闻分类"
"Settings","新闻设置"
"Add Post","增加新闻"
"Post Information","新闻信息"
"Post information","新闻信息"
"Advanced Options","高级选项"
"Hidden","隐藏"
"Posts","新闻列表"
"Blog Post Manager","新闻管理"
"Post was successfully saved","新闻已保存"
"Save Post","保存新闻"
"Delete Post","删除新闻"
"Category Manager","新闻分类管理"
"Add Category","新增分类"
"Category Information","分类信息"
"Enable Comments","允许评论"
"Short Content","简单描述"
"Content","新闻内容"
"Edit Post '%s'","编辑新闻 '%s'"
"Blog Comment Manager","新闻评论管理"
"Poster","提交者"
"Comments per page","新闻评论分页条数"
"Created","创建日期"
"Updated","最后修改"
"Blog Settings","新闻设置"
"Blog Title","新闻抬头"
"Date Format","日期格式"
"Show Breadcrumbs","显示面包屑导航"
"Posts Per Page","每页显示新闻数"
"Login Required to Comment","只允许登录会员评论"
"Auto Approve Comments","自动批准评论"
"Logged in Auto Approve Comments","登录会员的评论自动批准"
"Route to Blog","新闻路径"
"Full","完整"
"Long","长"
"Medium","中"
"Short","短"
"Empty","空"
"1 column","一列"
"2 columns with right bar","含右栏的 2 列"
"2 columns with left bar","含左栏的 2 列"
"3 columns","3 列"
"Summary Character Count","字符数总计"
"Use short content field","使用短内容领域"
"Parse CMS tags in post contents","解析已修改内容CMS标签"
"Use categories id in posts URLs","URL使用目录ID"
"Show Bookmarks in Lists","列表显示书签"
"Show Bookmarks in Posts","邮件显示书签"
"Menus and Links","菜单和链接"
"Enable Left Menu","允许左栏菜单"
"Enable Right Menu","允许右栏菜单"
"Enable Footer Link","允许页脚"
"Enable Top Link","允许顶部链接"
"Recent Posts","最近的邮件"
"Enable Categories menu","允许目录菜单"
"Tags to display","显示标签"
"Enable ReCAPTCHA","允许ReCAPTCHA"
"ReCAPTCHA Public Key","ReCAPTCHA公开密匙"
"ReCAPTCHA Private Key","ReCAPTCHA个人密匙"
"Enable Blog RSS Feed","允许新闻RSS订阅"
"RSS Posts to Show","显示RSS邮件"
"Number of post to display in the RSS feed.","显示在RSS订阅中的邮件数量。"
"Relative to current skin directory eg. images/rsslogo.jpg","指定到当前皮肤目录下，例如images/rsslogo.jpg"
"Go to http://recaptcha.net/api/getkey to get keys","从网站http://recaptcha.net/api/getkey 获得密匙"
"All comments will appear immediately without the need for approval by admin.","不通过管理员批准，所有评论直接显示"
"Only comments made by users that are logged in will automaticlly be approved.","只有登录用户的评论可被自动批准"
"The number of recent post to be displayed in the menu. 0 to disable.","在菜单中显示最近邮件的数量。0表示不显示"
"The number of tags to display in tag cloud. 0 Will disable tag cloud","在标签云中显示标签的数量。0表示不显示"
"eg. "news" will make the blog accessible from domain.com/news. Must not contain any slashes. Blank for default","不能包含斜杠，留空表示默认"
"The number posts displayed per page. 0 to disable pages.","每页显示邮件数量。0表示不显示"
"Advanced Post Options","高级选项"
"Created on","创建时间"
"You must be logged in to post a comment.", "您还没有登录，必须登录后才能评论哦。"
"click here", "点击这里"
"to log in", "登录"
