"aheadWorks Extensions","商品咨询"
"Action","Action"
"Add subscription to the question form","添加邮件订阅到咨询表"
"Advanced newsletter","高级邮件列表"
"<a href="http://ecommerce.aheadworks.com/extensions/advanced-newsletter.html">Advanced Newsletter extension</a> is required for targeted newsletters functionality","<a href="http://ecommerce.aheadworks.com/extensions/advanced-newsletter.html">高级邮件列表扩展</a> 用于定向邮件列表功能"
"Allow questions sorting by","允许咨询排序方式"
"An error occured while sending Product Questions email from \'%s\' to admin \'%s\' using template \'%s\', asked by \'%s\', the question is \'%s\'","An error occured while sending Product Questions email from \'%s\' to admin \'%s\' using template \'%s\', asked by \'%s\', the question is \'%s\'"
"An error occured while sending you a reply message.","An error occured while sending you a reply message."
"Antispam code is invalid. Please, check if JavaScript is enabled in your browser settings.","请检查在您的浏览器设置中是否启用 JavaScript。"
"Are you sure?","Are you sure?"
"Ascending","Ascending"
"Ask a question (%d)","Ask a question (%d)"
"Asked from","商店"
"Asked on","时间"
"Ask Your Own Question","添加咨询"
"Author email","咨询人邮箱"
"Author name","咨询人"
"Autoresponder","自动回复"
"Autoresponder enabled","允许自动回复"
"Be the first to ask about this product","Be the first to ask about this product"
"Cache URL requests","缓存URL请求"
"Change status","Change status"
"CSV","CSV"
"Customer-defined question visibility (Private or Public)","自定义咨询可见性（可见或不可见）"
"Date","Date"
"Default autoresponder message","Default autoresponder message"
"Delete","Delete"
"Descending","Descending"
"Details","Details"
"Don't display subscription","不显示订阅"
"Do you find this question helpful?","这条咨询是否对你有帮助?"
"Email","Email"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template(sent to admin)","邮件模板（发给管理员）"
"Email Template (sent to customer)","邮件模板（发给客户）"
"Email Template(sent to customer)","邮件模板（发给客户）"
"Email was sent successfully","Email was sent successfully"
"Email (will NOT be displayed on site)","电子邮件"
"Enable Product Questions RSS Feed","允许商品咨询RSS订阅"
"From","From"
"Guests are allowed to ask questions","允许访客咨询"
"Guests are not allowed to vote!","Guests are not allowed to vote!"
"Guests can rate helpfulness","访客可评级咨询是否有用"
"Helpfulness","Helpfulness"
"Interface Settings","接口设置"
"Item does not exist","Item does not exist"
"Leave empty to display all questions","留空表示显示所有咨询"
"Message to guests","给访客留言"
"Name (will be displayed on site)","姓名"
"New Product Question","New Product Question"
"Nickname can't be empty","姓名不能为空"
"No","No"
"No product ID","No product ID"
"No questions asked yet","还没有咨询"
"No such product","No such product"
"Number of questions to display in the RSS feed","RSS订阅显示的咨询数量"
"Number of questions to display","显示咨询数量"
"Open product page in new window","Open product page in new window"
"Parse URLs as links when admin replies","管理员回复后解析URL"
"Please select item(s)","Please select item(s)"
"Please select question(s)","Please select question(s)"
"Please specify valid email address"," 请输入合法的电子邮件  "
"Private","私有"
"Product error: %s","Product error: %s"
"Product","Product"
"Product questions","商品咨询"
"Product Questions","商品咨询"
"Questions","咨询"
"Product title","产品名"
"Public","公开"
"Question details","问题细节"
"Question form settings","咨询方式设置"
"Question","咨询内容"
"Questions on %s","Questions on %s"
"Question text can't be empty","咨询内容不能为空"
"Question text","咨询内容"
"Question was successfully deleted","咨询成功删除"
"Question was successfully saved","咨询成功保存"
"Rating/Vote count","评价数"
"Relative to current skin directory, e.g. images/rsslogo.jpg","指定到当前皮肤目录下，例如images/rsslogo.jpg"
"Replied","已回复"
"Reply/Edit","回复/编辑"
"Reply question #%d from %s <%s>","回答 %d 号提问  来自%s <%s>"
"Reply to your Product Question","Reply to your Product Question"
"RSS Feed Image","RSS订阅图片"
"RSS Feed","RSS订阅"
"RSS Feed Title","RSS订阅标题"
"RSS Questions to Show","RSS咨询显示数量"
"Save And Continue Edit","Save And Continue Edit"
"Save And Send Email","保存并发送邮件"
"Save","Save"
"Send Emails To","Send Emails To"
"SEO optimization","SEO 优化"
"Show in stores","Show in stores"
"Show on","Show on"
"Show this message instead of question form/link if the customer is not logged in","如果客户未登录显示该信息"
"Sort by","Sort by"
"%s: %s by %s","%s: %s by %s"
"Standard newsletter","标准邮件列表"
"Status","Status"
<strong>{product_name}</strong> - The Product name,<br />
<strong>{store_name}</strong> - The Store name<br />
<strong>{store_url}</strong> - the Store URL,<br />
<strong>{website_name}</strong> - the Website URL"
<strong>{website_name}</strong> - the Website URL","The following macro fields are available:<br />
"Submit question","提交"
"Subscribe to newsletter segments","Subscribe to newsletter segments"
"Subscribe to newsletters","Subscribe to newsletters"
"Subscribe to newsletter","Subscribe to newsletter"
"The following macro fields are available:<br />
"There was a problem with the newsletter subscription","There was a problem with the newsletter subscription"
"Total of %d question(s) were successfully deleted","Total of %d question(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find a data to save","Unable to find a data to save"
"Unable to post question. Please, try again later.","Unable to post question. Please, try again later."
"Unable to vote. Please, try again later.","Unable to vote. Please, try again later."
"View questions (%d)<br />","View questions (%d)<br />"
"Visibility","Visibility"
"XML","XML"
"Yes","Yes"
"You have already voted on this question!","您已经评价过这个答案！"
"You have been subscribed to newsletters","You have been subscribed to newsletters"
"Your question has been accepted for moderation","您的问题已经提交审核"
"Your reply","你的回复"
"Your voice has been accepted. Thank you!","感谢您的意见!"
"Helpfulness","有帮助"
"Enable URL rewrites","允许URL重写"
