"-- Please select --","-- 请选择 --"
"Allowed currencies","允许货币"
"Cannot retrieve rate from %s","无法从%s获取汇率"
"Continue &raquo;","继续 &raquo;"
"Country","Country"
"Country Api","Country Api"
"Country and Format Type combination should be unique","国家和格式类型组合必须唯一"
"Currency","货币"
"Currency Options","货币选项"
"Currency Setup","货币设置"
"Currency Update Warnings","货币更新警告"
"Default display currency","默认货币"
"Directory","Directory"
"Enabled","打开"
"Currency will be used for all online payment transactions","基准货币会在所有在线支付业务中使用"
"Error Email Recipient","错误日志的收件人"
"Error Email Sender","错误日志的发件人"
"Error Email Template","错误日志的模板"
"FATAL ERROR:","致命错误："
"Frequency","频率"
"Installed Currencies","已安装货币"
"Invalid Import Service Specified","指定的导入服务不正确"
"Invalid country code: %s","国家代码不正确：%s"
"Invalid rates received","接收的汇率不正确"
"Invalid target currency","目标货币不正确"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","定期导入"
"Select Your Currency","选择货币"
"Service","服务"
"Start Time","开始时间"
"State/Province","省份"
"Unable to initialize import model","无法初始化导入模式"
"Undefined rate from ""%s-%s""","""%s-%s""未定义汇率"
"WARNING:","警告："
"Your current currency is: %s","您当前货币是：%s"
