"* Select shipping method","* 选择配送方式"
"AVS Status: %s","AVS 状态：%s"
"Amount: %s","金额：%s"
"Auto-generated from GoogleCheckout Charge","从GoogleCheckout收费自动生成"
"Buyer account age: %s days","购货人帐户时间：%s天"
"CC Partial: xxxx-%s","部分信用卡号码: xxxx-%s"
"CID Status: %s","CID 状态： %s"
"Cart Discount","购物车折扣"
"Checkout Image Style","结帐图片格式"
"Continue Shopping URL","继续购物网址"
"Debug","调试"
"Default price:","默认价格："
"Eligible for protection: %s","有效保护: %s"
"Enable","激活"
"Expiration: %s","有效期：%s"
"Financial: %s -> %s","财务：%s -> %s"
"Fulfillment: %s -> %s","实际：%s -> %s"
"Google API","Google API"
"Google Authorization:","Google 授权："
"Google Buyer Id: %s","Google 购物人编号：%s"
"Google Charge:","Google 收费:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout 配送 - 快递计算"
"Google Checkout Shipping - Flat Rate","Google Checkout 运费 - 固定运费"
"Google Checkout Shipping - Merchant Calculated","Google Checkout 配送 - 商家计算"
"Google Checkout: %s","Google Checkout：%s"
"Google Order Number: %s","Google 订单号：%s"
"Google Refund:","Google 退款："
"Google Risk Information:","Google 风险评估信息："
"Google order status change:","Google 订单状态变化："
"Hide Cart Contents During Checkout","结帐时不显示购物车中商品"
"IP Address: %s","IP 地址：%s"
"Invoice auto-created: %s","自动生成发票：%s"
"Latest Charge: %s","最近付款：%s"
"Latest Refund: %s","最近退款：%s"
"Location","地区"
"Merchant ID","商户编号"
"Merchant Key","商户密钥"
"New order status","新订单状态"
"Optional, leave empty for home page.","可选，留空为首页。"
"Sandbox","Sandbox"
"Total Charged: %s","总付款：%s"
"Total Refunded: %s","总退款：%s"
"Virtual item to reflect discount total","虚拟商品计算总折扣"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
