"%d Review(s)","已有%d人发表评论"
"%s Review(s)","%s个评论"
"(Posted on %s)","(评论日期 %s)"
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Review","发表新的评论"
"Add Your Review","发表评论"
"Administrator","管理员"
"All Reviews","所有评论"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure?","您确认吗？"
"All reviews of customer `%s`","客户`%s`的所有评论"
"Allow Guests to Write Reviews","允许游客写评论"
"Average Customer Rating","平均客户评级"
"Average Customer Rating:","平均客户评级："
"Back","返回"
"Back to Main Product Info","返回主商品内容"
"Back to My Reviews","返回我的评论"
"Back to Product Reviews","返回商品评论"
"Be the first to review this product","第一个评论该商品"
"Created On","创建日期"
"Customer","会员"
"Customer Reviews","客户评论"
"Delete","删除"
"Delete Review","删除评论"
"Detailed Rating","评级情况"
"Edit Review '%s'","修改评论'%s'"
"Guest","访客"
"How do you rate this product?","您对该商品的评级是？"
"ID","编号"
"Manage Ratings","管理评级"
"My Product Reviews","我的商品评论"
"My Recent Reviews","我最近的评论"
"Name","名字"
"Name In Store","在商店的名字"
"New Review","新评论"
"Nickname","昵称"
"Pending Reviews","待审评论"
"Pending reviews","待审评论"
"Pending reviews of customer `%s`","客户`%s`的待审评论"
"Please select a product","请选择商品"
"Please select one of each of the ratings above","请选择上面的一个评级"
"Posted By","作者"
"Price","价格"
"Product","商品"
"Product Name","商品名称"
"Product Rating","商品评级"
"Product Rating:","商品评级："
"Product Review (submitted on %s):","商品评论 (提交日期 %s):"
"Product Reviews","商品评论"
"Product SKU","商品编码"
"Qty","数量"
"Rating:","评级："
"Review","评论"
"Review Details","评论内容"
"Review by %s","评论人: %s"
"Reviews and Ratings","Reviews and Ratings"
"Review summary can't be empty","评论标题不能为空"
"Review by <span>%s</span>","来自： <span>%s</span>"
"SKU","SKU"
"Save Review","保存评论"
"Status","状态"
"Store Views","收到界面"
"Submit Review","提交评论"
"Summary Rating","评级"
"Summary of Review","评论内容"
"Summary of Your Review","标题"
"Summary of review","评论内容"
"Title","标题"
"Type","类型"
"Unable to post review. Please, try again later.","无法发表评论，请稍后再试。"
"Update Status","更新状态"
"View All Reviews","查看所有评论"
"View Details","查看内容"
"Visible In","可见于"
"Websites","网站"
"Write Your Own Review","发表您自己的评论"
"You have submitted no reviews.","您没有提交评论。"
"You're reviewing: %s","您正在评论：%s"
"Your Rating:","您的评级："
"Your Review (submitted on %s):","您的评论 (提交日期 %s):"
"Your review has been accepted for moderation.","您的评论已提交审核"
"Pending reviews","待审评论"
"Reviews and Ratings","评论和评级"
"Review(%d)","查看评论(%d)"
"Product Review ： ","商品评论："
"Posted on %s","评论日期：%s"
"Product Info","商品信息"
"All reviews of customer `%s`","客户`%s`的所有评论"
"You're reviewing:","您正在评论："
"Approved","批准"
"Pending","等待"
"Not Approved","未批准"
